RegionID,VoronoiVolume,TotalFiberVolume,FiberVolumeFrac,FiberIndices,FiberLengthsInside,FiberP1_inside,FiberP2_inside,MinCorner,CuboidSize,
67,64000,5028.571,7.857142188,"1,2","50, 50","[0 0 0], [100 0 0]","[50 0 0], [150 0 0]",[-20 -9.18 -9.18],[190 18.35 18.35],
68,64000,5028.571,7.857142188,"1,2","50, 50","[0 0 0], [110 0 0]","[50 0 0], [160 0 0]",[-20 -8.94 -8.94],[200 17.88 17.88],
69,64000,5028.571,7.857142188,"1,2","50, 50","[0 0 0], [120 0 0]","[50 0 0], [170 0 0]",[-20 -8.72 -8.72],[210 17.45 17.45],
70,65138.494,5028.571,7.719815,"1,2","50, 50","[0 0 0], [70 0 -12.5]","[50 0 0], [113.301 0 12.5]",[-3 -7 -19.5],[119.301 14 39],
71,70598.494,5028.571,7.122774,"1,2","50, 50","[0 0 0], [80 0 -12.5]","[50 0 0], [123.301 0 12.5]",[-3 -7 -19.5],[129.301 14 39],
72,76058.494,5028.571,6.611452,"1,2","50, 50","[0 0 0], [90 0 -12.5]","[50 0 0], [133.301 0 12.5]",[-3 -7 -19.5],[139.301 14 39],
73,81518.494,5028.571,6.168626,"1,2","50, 50","[0 0 0], [100 0 -12.5]","[50 0 0], [143.301 0 12.5]",[-3 -7 -19.5],[149.301 14 39],
74,86978.494,5028.571,5.781396,"1,2","50, 50","[0 0 0], [110 0 -12.5]","[50 0 0], [153.301 0 12.5]",[-3 -7 -19.5],[159.301 14 39],
75,92438.494,5028.571,5.43991,"1,2","50, 50","[0 0 0], [120 0 -12.5]","[50 0 0], [163.301 0 12.5]",[-3 -7 -19.5],[169.301 14 39],
76,81023.996,5028.571,6.206274,"1,2","50, 50","[0 0 0], [70 0 -21.65]","[50 0 0], [95 0 21.65]",[-3 -7 -28.65],[101 14 57.3],
77,89046.174,5028.571,5.64715,"1,2","50, 50","[0 0 0], [80 0 -21.65]","[50 0 0], [105 0 21.65]",[-3 -7 -28.65],[111 14 57.3],
78,97068.352,5028.571,5.180443,"1,2","50, 50","[0 0 0], [90 0 -21.65]","[50 0 0], [115 0 21.65]",[-3 -7 -28.65],[121 14 57.3],
79,105090.53,5028.571,4.78499,"1,2","50, 50","[0 0 0], [100 0 -21.65]","[50 0 0], [125 0 21.65]",[-3 -7 -28.65],[131 14 57.3],
80,113112.707,5028.571,4.445629,"1,2","50, 50","[0 0 0], [110 0 -21.65]","[50 0 0], [135 0 21.65]",[-3 -7 -28.65],[141 14 57.3],
81,121134.885,5028.571,4.151216,"1,2","50, 50","[0 0 0], [120 0 -21.65]","[50 0 0], [145 0 21.65]",[-3 -7 -28.65],[151 14 57.3],
82,68096,5028.571,7.384598,"1,2","50, 50","[0 0 0], [70 0 -25]","[50 0 0], [70 0 25]",[-3 -7 -32],[80 14 64],
83,77056,5028.571,6.526097,"1,2","50, 50","[0 0 0], [80 0 -25]","[50 0 0], [80 0 25]",[-3 -7 -32],[90 14 64],
84,86016,5028.571,5.846245,"1,2","50, 50","[0 0 0], [90 0 -25]","[50 0 0], [90 0 25]",[-3 -7 -32],[100 14 64],
85,94976,5028.571,5.29478,"1,2","50, 50","[0 0 0], [100 0 -25]","[50 0 0], [100 0 25]",[-3 -7 -32],[110 14 64],
86,103936,5028.571,4.838431,"1,2","50, 50","[0 0 0], [110 0 -25]","[50 0 0], [110 0 25]",[-3 -7 -32],[120 14 64],
87,112896,5028.571,4.454723,"1,2","50, 50","[0 0 0], [120 0 -25]","[50 0 0], [120 0 25]",[-3 -7 -32],[130 14 64],
88,32029,2514,7.857142188,1,50,[10 0 0],[60 0 0],[0 -10 -10],[70 21.4 21.4],
89,32649,2514,7.719815,1,50,[70 0 -12.5],[113.301 0 12.5],[65 -9 -15],[60 18 30],
90,40548.3871,2514,6.206274,1,50,[70 0 -21.65],[95 0 21.65],[65 10.85 -26.65],[35 21.7 53.3],
91,34065,2514,7.384598,1,50,[0 0 -25],[0 0 25],[-11.935 -11.935 -30],[23.87 23.87 60],
